epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.2715,0.96251,1.76477,1.12748,0.77141,0.56244,0.61904,0.41676,1.00101,2.59064,1.04256,0.00056,0.00056,0.00056
2,10.618,0.83988,0.89613,1.05882,0.97211,0.52083,0.81495,0.54365,1.041,1.93185,1.17037,0.00113248,0.00113248,0.00113248
3,14.8234,0.79595,0.76713,1.04064,0.91006,0.84318,0.92457,0.60395,1.03249,1.34897,1.18686,0.0016973,0.0016973,0.0016973
4,18.8068,0.80693,0.73681,1.04282,0.98415,0.92708,0.97587,0.79969,0.69762,0.75215,0.97408,0.0019604,0.0019604,0.0019604
5,23.0785,0.81427,0.72327,1.04713,0.84506,0.90901,0.92238,0.7564,0.68444,0.81528,0.96016,0.0019472,0.0019472,0.0019472
6,27.2648,0.85714,0.74051,1.08387,0.46869,0.5,0.49212,0.36019,0.97996,1.71211,1.17665,0.001934,0.001934,0.001934
7,31.3939,0.81327,0.65058,1.05743,0.87975,0.91455,0.94175,0.81295,0.52471,0.99419,0.88518,0.0019208,0.0019208,0.0019208
8,35.4783,0.7757,0.61424,1.03822,0.78068,0.79167,0.82168,0.67579,0.65694,0.87061,0.95627,0.0019076,0.0019076,0.0019076
9,39.4875,0.7776,0.59642,1.04261,0.94952,0.97972,0.97833,0.81785,0.61655,0.43245,0.90528,0.0018944,0.0018944,0.0018944
10,43.504,0.74059,0.56505,1.01082,0.97351,0.97917,0.98905,0.79722,0.82495,0.63362,1.00042,0.0018812,0.0018812,0.0018812
11,47.3555,0.74935,0.55613,1.02175,0.98676,0.97917,0.99253,0.84144,0.63334,0.40739,0.91639,0.001868,0.001868,0.001868
12,51.3602,0.71344,0.55035,1.01425,0.97562,0.9375,0.96901,0.85891,0.52787,0.44994,0.88251,0.0018548,0.0018548,0.0018548
13,55.3481,0.71697,0.53601,1.01292,0.98965,0.99582,0.99397,0.84105,0.64899,0.38373,0.91623,0.0018416,0.0018416,0.0018416
14,59.5814,0.69446,0.51181,0.99129,0.96902,0.97917,0.98331,0.88298,0.46853,0.3616,0.84895,0.0018284,0.0018284,0.0018284
15,63.6805,0.67766,0.49806,0.98493,0.97848,1,0.99257,0.84351,0.6836,0.36143,0.92116,0.0018152,0.0018152,0.0018152
16,67.9813,0.69154,0.4799,0.99951,0.96683,0.96875,0.98529,0.86772,0.51596,0.36119,0.87564,0.001802,0.001802,0.001802
17,71.8412,0.6873,0.49126,0.99872,0.98792,0.97917,0.98586,0.84976,0.61949,0.35936,0.89733,0.0017888,0.0017888,0.0017888
18,75.9037,0.69885,0.48439,1.00538,0.96822,1,0.98975,0.86119,0.59704,0.33627,0.87996,0.0017756,0.0017756,0.0017756
19,79.9492,0.67428,0.4799,0.98234,0.98579,1,0.99469,0.82124,0.70063,0.35983,0.93,0.0017624,0.0017624,0.0017624
20,84.1888,0.68435,0.46746,0.99721,0.98522,0.98958,0.99137,0.85579,0.57055,0.39072,0.88152,0.0017492,0.0017492,0.0017492
21,88.0692,0.64443,0.47036,0.99341,0.97705,0.98958,0.98979,0.89525,0.45209,0.3592,0.84518,0.001736,0.001736,0.001736
22,91.9698,0.65212,0.46106,0.98895,0.97892,0.96747,0.98883,0.88214,0.47482,0.34134,0.86689,0.0017228,0.0017228,0.0017228
23,95.9378,0.63715,0.44688,0.97595,0.97669,0.98958,0.98503,0.91314,0.33786,0.29439,0.82238,0.0017096,0.0017096,0.0017096
24,99.8188,0.62244,0.43324,0.97544,0.97784,0.98958,0.98783,0.87626,0.52672,0.3512,0.87451,0.0016964,0.0016964,0.0016964
25,103.91,0.64265,0.45592,0.98688,0.98968,0.99856,0.99098,0.85698,0.57665,0.31392,0.88698,0.0016832,0.0016832,0.0016832
26,108.052,0.63792,0.45927,0.98133,0.97873,1,0.99303,0.93515,0.36205,0.29017,0.82766,0.00167,0.00167,0.00167
27,112.3,0.61491,0.48424,0.97116,0.98957,0.98842,0.99178,0.92509,0.37427,0.30653,0.82928,0.0016568,0.0016568,0.0016568
28,116.449,0.62651,0.42681,0.97482,0.97953,0.99719,0.9874,0.84789,0.57862,0.33838,0.87967,0.0016436,0.0016436,0.0016436
29,120.509,0.6119,0.41836,0.96223,0.98968,0.99926,0.98974,0.94309,0.33626,0.23926,0.81533,0.0016304,0.0016304,0.0016304
30,124.631,0.60366,0.42518,0.97465,0.98552,1,0.98923,0.89901,0.43501,0.25378,0.83788,0.0016172,0.0016172,0.0016172
31,128.752,0.59415,0.40939,0.95999,0.98507,1,0.98593,0.92705,0.35259,0.27634,0.81782,0.001604,0.001604,0.001604
32,132.723,0.59265,0.40856,0.96133,0.98968,0.9993,0.99345,0.91981,0.40694,0.26888,0.82786,0.0015908,0.0015908,0.0015908
33,136.928,0.58785,0.40644,0.95823,0.98941,1,0.98716,0.94055,0.33543,0.25109,0.81054,0.0015776,0.0015776,0.0015776
34,141.112,0.56616,0.39397,0.95009,0.98877,1,0.98985,0.9331,0.34349,0.23739,0.82437,0.0015644,0.0015644,0.0015644
35,145.124,0.5735,0.40238,0.96357,0.98942,1,0.99407,0.93495,0.35926,0.24109,0.81692,0.0015512,0.0015512,0.0015512
36,149.009,0.55749,0.38774,0.94883,0.98968,0.99934,0.98861,0.90386,0.43616,0.25503,0.83356,0.001538,0.001538,0.001538
37,152.976,0.55004,0.38501,0.95145,0.98671,1,0.99397,0.94121,0.34635,0.23742,0.81951,0.0015248,0.0015248,0.0015248
38,157.287,0.57126,0.39033,0.95583,0.98897,1,0.9883,0.92296,0.37592,0.26366,0.82261,0.0015116,0.0015116,0.0015116
39,161.579,0.56577,0.38771,0.95439,0.98836,1,0.9882,0.95712,0.2762,0.22368,0.79951,0.0014984,0.0014984,0.0014984
40,165.617,0.53561,0.37684,0.93444,0.98909,1,0.99098,0.95445,0.30871,0.21841,0.80584,0.0014852,0.0014852,0.0014852
41,169.548,0.54974,0.40288,0.94406,0.98673,1,0.99222,0.96564,0.27371,0.2233,0.80223,0.001472,0.001472,0.001472
42,173.729,0.54124,0.38124,0.94927,0.98904,1,0.9918,0.93742,0.37847,0.23254,0.82197,0.0014588,0.0014588,0.0014588
43,177.832,0.5533,0.37407,0.94936,0.98909,0.98958,0.98855,0.95184,0.31218,0.22323,0.80872,0.0014456,0.0014456,0.0014456
44,181.833,0.55313,0.38167,0.94778,0.98813,1,0.99366,0.95379,0.28845,0.21959,0.805,0.0014324,0.0014324,0.0014324
45,185.967,0.56251,0.3818,0.94286,0.98968,0.9988,0.99026,0.95751,0.32352,0.24064,0.81611,0.0014192,0.0014192,0.0014192
