epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,405.492,0.91709,1.67333,1.08031,0.91733,0.80045,0.90324,0.73729,0.5201,1.33986,0.68154,0.00999464,0.00333155,0.00999464,0.00333155,0.00999464,0.00333155,0.00999464,0.00333155
2,737.993,0.94744,1.00585,1.097,0.87913,0.84838,0.90583,0.72419,0.54599,3.28713,0.71374,0.0197472,0.0065824,0.0197472,0.0065824,0.0197472,0.0065824,0.0197472,0.0065824
3,1044.55,1.03213,1.03352,1.14188,0.88378,0.81805,0.89565,0.69794,0.61211,6.48101,0.74633,0.0292523,0.00975076,0.0292523,0.00975076,0.0292523,0.00975076,0.0292523,0.00975076
4,1339.25,1.01715,0.98534,1.1418,0.90788,0.85061,0.92699,0.77002,0.53519,4.26921,0.72689,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,1632.75,0.94187,0.8752,1.10309,0.91505,0.88861,0.94246,0.791,0.50617,6.1321,0.69722,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,1925.1,0.88961,0.8054,1.08124,0.93313,0.89445,0.9511,0.81478,0.46202,2.26793,0.68481,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,2218,0.85089,0.75542,1.05983,0.9415,0.91583,0.96177,0.83744,0.46137,1.8337,0.68673,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,2510.8,0.82741,0.72546,1.04662,0.9503,0.92586,0.96378,0.84583,0.42584,1.83456,0.66602,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,2804.03,0.8031,0.6966,1.03296,0.95708,0.93221,0.96996,0.86065,0.40373,1.42076,0.66263,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,3097.4,0.78625,0.67904,1.02748,0.96047,0.93454,0.96936,0.86409,0.38761,1.41213,0.65266,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,3390.81,0.76934,0.65571,1.02024,0.96295,0.9418,0.97415,0.87592,0.37381,1.20398,0.65098,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,3685.3,0.75252,0.63624,1.01032,0.97282,0.93645,0.97395,0.87784,0.3634,1.82333,0.6365,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,3979.15,0.75085,0.63286,1.01109,0.97709,0.94259,0.97761,0.88473,0.36157,1.07816,0.64584,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
